"ConformLoad:
ID","ConformLoad:
Name","ConformLoad:
NAFlag","ConformLoad:
InternalId","ConformLoad:
Parent","ConformLoad:
ObjectType","ConformLoadGroup:
Path","ConformLoadGroup:
InternalId","ConformLoadGroup:
Name","ConformLoad:
ConformLoadAssignedToConformLoadGroup:
ConformLoadGroup:
ID","ConformLoadGroup:
Parent","ConformLoadGroup:
ObjectType"
_3ffd3d84-527e-43fe-8238-43a89ca9cfdf,T-02   69\13.8,true,891076,_27bfe4bf-b307-40df-a2f1-416f3a7a47a9,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCATG T-02   69_13.8-LG,891110,01TLCATG T-02   69_13.8-LG,_601b4609-4da1-45b5-be6f-f5cf6c7df4f6,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_074c22f8-ce3b-4417-a313-5f921b275f93,T-01 115\13.8,true,891364,_e55aa6d0-88b8-40fe-8da6-13ec9bef6e0f,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCATM  T-01 115_13.8-LG,891384,01TLCATM  T-01 115_13.8-LG,_fad2277b-6e3c-4d21-83b0-f08754d77bdb,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_10a89588-15ef-453b-964e-cabfc93a33c4,T-02 115\13.8,true,891369,_e55aa6d0-88b8-40fe-8da6-13ec9bef6e0f,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCATM  T-02 115_13.8-LG,891485,01TLCATM  T-02 115_13.8-LG,_d0d8affd-ecf3-4ddd-85ce-fa948b2a1c86,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_e81e830a-7a3c-43e9-8d91-d9216158b70e,T-01 115\13.8,true,891658,_fe6e8550-d3b1-445d-be62-54bfaef5b7cb,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCATS  T-01 115_13.8-LG,891663,01TLCATS  T-01 115_13.8-LG,_81518907-8c28-41fb-9d48-936716d92ec8,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_313212bd-9e6a-470c-b4d9-aff49ccbc01f,T-02 115\23,true,891906,_1ea23cca-46f4-44bb-90fb-b5009bf6f5ed,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCATU  T-02 115_23-LG,891938,01TLCATU  T-02 115_23-LG,_fe1b39ba-da97-42a3-a415-89e784e88274,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_a19e7ef9-b9a1-46ed-aee1-07936090d94f,T-03 115\23,true,891911,_1ea23cca-46f4-44bb-90fb-b5009bf6f5ed,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCATU  T-03 115_23-LG,892039,01TLCATU  T-03 115_23-LG,_f5363890-5688-44ae-bf0d-8863cc0f4a72,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_af8c3d44-0bbf-4106-b6fc-3643dbf93ea3,T-01 115\13.8,true,891918,_72308292-a1f0-406e-977c-db40cbcac64a,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCATU  T-01 115_13.8-LG,892140,01TLCATU  T-01 115_13.8-LG,_405b23ae-6fbc-4bed-a7f5-42784bba38be,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_592afbb2-e6fe-4afa-a4fe-a0210f4ee753,T-01 115\23,true,892310,_9bcfbbf2-3ae9-4558-86f3-336280b1ba53,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCAUO  T-01 115_23-LG,892320,01TLCAUO  T-01 115_23-LG,_3d89cd2b-cbf4-4925-bcc9-b89fa6e3d93b,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_fe8065c7-6851-453d-bf58-5bb779dddd32,T-01 115\13.8,true,892482,_83c8f320-9e33-4bef-a5d2-c0e11615e3bf,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCAVA  T-01 115_13.8-LG,892492,01TLCAVA  T-01 115_13.8-LG,_694ede7c-2136-4365-a2fa-9de11111079d,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_14e861ad-db03-4a0c-8362-84097d7a4623,72040 CARGA,true,892825,_e1de28b7-9486-466f-a5f0-8bd08d245f8b,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCBBR 72040 CARGA-LG,892851,01TLCBBR 72040 CARGA-LG,_72a8f07a-6ab1-4cca-ac92-98163a3b1375,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_1ef52fcf-52a1-43e3-a5d7-615c93eb1a6b,T-01 115\13.8,true,893342,_5f4ae79e-44df-4cc0-921e-0a79717ef030,ConformLoad,Network/.Load Areas/SIN/08PEN/08   ALO  T-01 115_13.8-LG,893353,08   ALO  T-01 115_13.8-LG,_d2de670f-60fd-4c36-9718-fec3cf35481f,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_dc7c1c0c-31f8-4bfc-947d-bd780749bbe8,T-01 115\34.5,true,893945,_2a8336cd-f8bc-4a0f-8c9a-685e628bf721,ConformLoad,Network/.Load Areas/SIN/08PEN/08   CAS  T-01 115_34.5-LG,893956,08   CAS  T-01 115_34.5-LG,_c79fc450-65b6-4f7a-84df-fcef50286967,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_b59d1109-e4d2-4981-9b8e-b81c7b58982c,T-01 115\13.8,true,894163,_1200272c-04d8-4fce-924e-249eafb73a4b,ConformLoad,Network/.Load Areas/SIN/08PEN/08   CBR  T-01 115_13.8-LG,894185,08   CBR  T-01 115_13.8-LG,_b2cf8e79-3c09-44c7-bf1b-ceeed55b4b63,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_d800bfa8-2d3d-4f4a-87ff-da337d388b41,T-02 115\13.8,true,894168,_1200272c-04d8-4fce-924e-249eafb73a4b,ConformLoad,Network/.Load Areas/SIN/08PEN/08   CBR  T-02 115_13.8-LG,894286,08   CBR  T-02 115_13.8-LG,_b48de987-ed3a-48a7-bd2b-5e4bdbcd5e14,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_8c48cbc4-ce80-4f89-92f2-0f95d9f1d878,T-01 115\13.8,true,894806,_b81f823f-98a9-4423-ab80-4ff1df312faa,ConformLoad,Network/.Load Areas/SIN/08PEN/08   CEX  T-01 115_13.8-LG,894816,08   CEX  T-01 115_13.8-LG,_a2d11fb5-43c0-42de-9451-9eb2f34a756a,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_b0a0df34-d516-4523-a3e5-e5337ea83bd4,T-01 115\13.8,true,895042,_f8bbd07a-17ec-4b4b-b129-ae2c0f0bc16b,ConformLoad,Network/.Load Areas/SIN/08PEN/08   CNO  T-01 115_13.8-LG,895064,08   CNO  T-01 115_13.8-LG,_71fb17f7-fff2-4502-9fe9-17094e91b66e,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_42505237-04bf-4648-a146-d490f90b671a,T-02 115\13.8,true,895047,_f8bbd07a-17ec-4b4b-b129-ae2c0f0bc16b,ConformLoad,Network/.Load Areas/SIN/08PEN/08   CNO  T-02 115_13.8-LG,895165,08   CNO  T-02 115_13.8-LG,_f3a23955-65da-497a-a0ce-fb6137435561,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_6710df56-064e-488e-a17e-e748cb558103,SP-U1,true,895389,_39b2a70b-0b1b-499b-a6bb-262a225fbb5f,ConformLoad,Network/.Load Areas/SIN/08PEN/08   CPC SP-U1-LG,895402,08   CPC SP-U1-LG,_02074982-5676-437d-afd9-259837ee2dc6,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_56462ca9-04ca-4744-b7a3-505bed66dc86,T-01 115\13.8,true,895608,_1c5676aa-e05a-45cf-9f19-d877c356a0f6,ConformLoad,Network/.Load Areas/SIN/08PEN/08   DZI  T-01 115_13.8-LG,895619,08   DZI  T-01 115_13.8-LG,_8cf2145b-0312-4cc7-950e-934543ab79b6,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_5743f927-42dc-4d0f-b394-d88e80241722,T-03 115\13.8,true,896776,_be983f90-e398-488b-9ce7-107e8ffa90ef,ConformLoad,Network/.Load Areas/SIN/08PEN/08   ESA  T-03 115_13.8-LG,896848,08   ESA  T-03 115_13.8-LG,_804cfa9b-ccd3-4a44-81c7-913309e16abb,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
_941f22f2-913e-414f-8a3a-3f15741f93ce,T-02 115\34.5,true,896783,_3820f6af-badb-4b03-b396-55762621ae75,ConformLoad,Network/.Load Areas/SIN/08PEN/08   ESA  T-02 115_34.5-LG,896949,08   ESA  T-02 115_34.5-LG,_74ced1c0-fb9b-442f-838d-a98b596f6faf,_c86ad7fa-0e62-4ee7-aebc-a3ae586006d6,ConformLoadGroup
