"ConformLoad:
InternalId","ConformLoad:
ObjectId","ConformLoad:
ID","ConformLoad:
Name","ConformLoad:
IsAuxiliary","ConformLoad:
ODBName","ConformLoad:
Parent","ConformLoad:
ObjectType"
775544,{be845a2e-db46-447c-9ddc-43da45c81e6f},_be845a2e-db46-447c-9ddc-43da45c81e6f,T -0 230\23  q,false,COAC1551,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775549,{88d5289e-e78f-4b3c-8c03-661b440e7f8e},_88d5289e-e78f-4b3c-8c03-661b440e7f8e,T -0 230\23  r,false,COAC1651,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775554,{d8ee8e04-34e8-4cd6-9fba-8db990a551c4},_d8ee8e04-34e8-4cd6-9fba-8db990a551c4,T -0 230\23  s,false,COAC1751,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
777512,{d0927c2f-06a5-4a5c-ba87-6acb70329d85},_d0927c2f-06a5-4a5c-ba87-6acb70329d85,T-01 230\23,false,COYC0151,_6a43815f-9773-4f1d-804d-c73a1a7ae717,ConformLoad
777517,{f381db19-bed0-4058-ae85-7ba42d817901},_f381db19-bed0-4058-ae85-7ba42d817901,T-02 230\23,false,COYC0251,_6a43815f-9773-4f1d-804d-c73a1a7ae717,ConformLoad
777522,{04000ef0-06bb-424b-b8c7-a7ba3820578c},_04000ef0-06bb-424b-b8c7-a7ba3820578c,T-03 230\23,false,COYC0351,_6a43815f-9773-4f1d-804d-c73a1a7ae717,ConformLoad
778087,{2550be0d-4f19-4747-b514-22546a1b2809},_2550be0d-4f19-4747-b514-22546a1b2809,T-01 230\23,false,CPGC0151,_f1e1cdf9-f1ab-4cfe-a2cb-4b9fc2bbbc4d,ConformLoad
778092,{8684a942-7d94-4fda-a770-df96c42b2562},_8684a942-7d94-4fda-a770-df96c42b2562,T-02 230\23,false,CPGC0251,_f1e1cdf9-f1ab-4cfe-a2cb-4b9fc2bbbc4d,ConformLoad
778097,{03417ca7-d07f-4365-bffa-e91ee9b34629},_03417ca7-d07f-4365-bffa-e91ee9b34629,T-03 230\23,false,CPGC0351,_f1e1cdf9-f1ab-4cfe-a2cb-4b9fc2bbbc4d,ConformLoad
779128,{c2f249c5-cc4d-4b6f-8444-6ea2d89cb912},_c2f249c5-cc4d-4b6f-8444-6ea2d89cb912,T-06 230\23,false,CRGC0151,_97a3dd2d-e1be-46fc-84ea-b85e95336d97,ConformLoad
779133,{e07c1be4-5f35-4289-94df-67b65a7ad5ab},_e07c1be4-5f35-4289-94df-67b65a7ad5ab,T-07 230\23,false,CRGC0251,_97a3dd2d-e1be-46fc-84ea-b85e95336d97,ConformLoad
779782,{e7a70f6b-7350-4468-94e3-e6c5f14cd384},_e7a70f6b-7350-4468-94e3-e6c5f14cd384,T-01  85\23,false,CRMC0151,_11f41646-bb2f-4fed-b292-a85c54cc70b8,ConformLoad
779787,{c44e226b-c8d1-4884-b099-29b33886701a},_c44e226b-c8d1-4884-b099-29b33886701a,T-02  85\23,false,CRMC0251,_11f41646-bb2f-4fed-b292-a85c54cc70b8,ConformLoad
780153,{55afc2f7-daf2-4022-a535-5d37b0321777},_55afc2f7-daf2-4022-a535-5d37b0321777,T-01 230\23,false,CRSC0151,_92f986f8-67e0-408e-aff4-a9d136cb18bb,ConformLoad
780158,{e0db004b-7d8f-453b-9a1c-d94d7892b2ed},_e0db004b-7d8f-453b-9a1c-d94d7892b2ed,T-02 230\23,false,CRSC0251,_92f986f8-67e0-408e-aff4-a9d136cb18bb,ConformLoad
780163,{03d3bee8-21e3-4b97-a6a2-146c6bc9b492},_03d3bee8-21e3-4b97-a6a2-146c6bc9b492,T-03 230\23,false,CRSC0351,_92f986f8-67e0-408e-aff4-a9d136cb18bb,ConformLoad
781109,{7124cf98-2f27-48f8-8fa1-8271d2011b10},_7124cf98-2f27-48f8-8fa1-8271d2011b10,AUX G1     23CA,true,CRUA0151,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
781114,{9871debd-a38f-4107-85cf-d8223db8002b},_9871debd-a38f-4107-85cf-d8223db8002b,T -0 230\23  a,false,CRUC0251,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
781119,{4020d867-edfd-4b5a-9594-5db0742271c8},_4020d867-edfd-4b5a-9594-5db0742271c8,T -0 230\23  b,false,CRUC0351,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
781124,{769fe3c3-f058-44df-adef-4de3695a3f24},_769fe3c3-f058-44df-adef-4de3695a3f24,T -0 230\23  c,false,CRUC0451,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
781129,{89df4c25-6230-485a-99a3-86d59f78ae76},_89df4c25-6230-485a-99a3-86d59f78ae76,T -0 230\23  d,false,CRUC0551,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
781134,{642d5a98-abb8-4b6c-a47a-353e47485c9a},_642d5a98-abb8-4b6c-a47a-353e47485c9a,T -0 230\23  e,false,CRUC0651,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
781139,{9b03eb78-47c4-42b9-bb55-ee1cf7af00c4},_9b03eb78-47c4-42b9-bb55-ee1cf7af00c4,T -0 230\23  f,false,CRUC0751,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
781144,{518e0a64-6a03-4358-8222-ac4efb8e9670},_518e0a64-6a03-4358-8222-ac4efb8e9670,T -0 230\23  g,false,CRUC0851,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
781149,{4405e707-0e89-42b9-aa32-a61113809ac0},_4405e707-0e89-42b9-aa32-a61113809ac0,T -0 230\23  h,false,CRUC0951,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
781154,{aa575e4f-c6ef-454a-9963-2ddf17ee7eb0},_aa575e4f-c6ef-454a-9963-2ddf17ee7eb0,T -0 230\23  i,false,CRUC1051,_8251f21b-6f72-4f0f-b269-c1454b29145f,ConformLoad
