"CurveData:
ID","CurveData:
xAxisData","CurveData:
y1AxisData","CurveData:
y2AxisData","CurveData:
InternalId","CurveData:
Name","CurveData:
Parent","CurveData:
ObjectType"
_9fef1f13-98df-405c-9290-b0c11e4b76af,32,-7,20,815995,40,_d17a1cb2-6d15-41ab-8567-6cda3eb675af,CurveData
_698a0ce9-87de-4585-9266-bb4047fbedc0,0,-7,20,815997,0,_68086656-ac87-40d7-b27b-94c4393792d5,CurveData
_13199c6a-c093-4c13-8abb-6739b9594256,7,-7,20,815998,10,_68086656-ac87-40d7-b27b-94c4393792d5,CurveData
_036d4f7f-b53d-4d44-a45c-a7a45a71bcb4,14,-7,20,815999,20,_68086656-ac87-40d7-b27b-94c4393792d5,CurveData
_aadd4a8d-01a0-4b3c-9933-ce3ea3984e5c,21,-7,20,816000,30,_68086656-ac87-40d7-b27b-94c4393792d5,CurveData
_b636c804-b46b-4c6e-a252-986972871256,32,-7,20,816001,40,_68086656-ac87-40d7-b27b-94c4393792d5,CurveData
_fe29bd8d-dd9a-4b21-80cc-e44230cfebac,0,-7,20,816003,0,_3d4804df-00db-4db8-8860-da20c0cd9ba0,CurveData
_8a6d6515-48d0-48bf-b714-955230aeaa22,10.5,-7,20,816004,10,_3d4804df-00db-4db8-8860-da20c0cd9ba0,CurveData
_87bb9cb3-08e0-43ed-8464-4bae022b9c55,21,-7,20,816005,20,_3d4804df-00db-4db8-8860-da20c0cd9ba0,CurveData
_b2dd4d23-2062-478f-b260-69ff5e9f4080,31.5,-7,20,816006,30,_3d4804df-00db-4db8-8860-da20c0cd9ba0,CurveData
_a2d7a151-9441-4bf8-a675-2ee355296a6b,42,-7,20,816007,40,_3d4804df-00db-4db8-8860-da20c0cd9ba0,CurveData
_044a62a6-719a-4809-8e44-9742882dceb1,0,-10,10,819474,0,_3f078b44-0140-4ecf-9276-1164690f6f2d,CurveData
_929783ce-a294-4b8e-a0a4-8e29ca3fd993,7,-10,10,819475,10,_3f078b44-0140-4ecf-9276-1164690f6f2d,CurveData
_a6df19b0-9683-42dd-a823-0e665f00f617,14,-10,10,819476,20,_3f078b44-0140-4ecf-9276-1164690f6f2d,CurveData
_94a309aa-285c-4ddd-987f-c0c0715557e6,23,-10,10,819477,30,_3f078b44-0140-4ecf-9276-1164690f6f2d,CurveData
_f11a4a80-62b3-4fc6-8b02-847a5f2bcfc3,32,-10,10,819478,40,_3f078b44-0140-4ecf-9276-1164690f6f2d,CurveData
_3486b643-e37a-4cfc-8399-dcda65a67cd3,0,-4,4,825500,0,_ad8e7897-6d30-4df1-ab96-2a6d3275a86f,CurveData
_1099b8e4-8f95-46d6-94ea-71832bf8f24e,8,-4,4,825501,10,_ad8e7897-6d30-4df1-ab96-2a6d3275a86f,CurveData
_93c8b457-5e1f-40e7-a0f8-b616f13040f5,12,-4,4,825502,20,_ad8e7897-6d30-4df1-ab96-2a6d3275a86f,CurveData
_b856bcb9-ba3d-4e73-a965-57b0415adf6b,14,-4,4,825503,30,_ad8e7897-6d30-4df1-ab96-2a6d3275a86f,CurveData
