"ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType","SynchronousMachine:
Path","SynchronousMachine:
InternalId","SynchronousMachine:
Name","ReactiveCapabilityCurve:
SynchronousMachineHasDefaultReactiveCapabilityCurve:
SynchronousMachine:
ID","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType"
_64af41ce-75b6-43e4-82d7-123854fb5e60,1456302,04NVL-U3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   NVL/13.8/UN-03,1456150,UN-03,_c3e1bcb4-e07f-431b-a00a-bcae7396297a,_ed4cdd70-6263-46a7-8ff3-ca4592699ca5,SynchronousMachine
_6dec5d83-c7fa-479f-9abf-736f4d2dde2e,1456516,04NSO-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   NSO/34.5/UN-01,1456473,UN-01,_5c71bd9a-d338-4009-b752-e6b4cdd8a38e,_fdbe5ae7-460c-4e83-89a5-0dbb50787f2f,SynchronousMachine
_04c0d860-8876-41df-be44-83b243c06e65,1459104,04MZD-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   MZD/15/UN-01,1458498,UN-01,_4a2e2ac2-a5a2-4c4e-963a-c4b054ddcd2a,_f3fe19e2-1bbd-4060-88b7-423bd2af2429,SynchronousMachine
_bfebd421-0b09-4f4f-bc7d-45753ca7632b,1459110,04MZD-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   MZD/15/UN-02,1458500,UN-02,_2bf2b07a-3247-49a1-b5bb-4c7f7854ec51,_f3fe19e2-1bbd-4060-88b7-423bd2af2429,SynchronousMachine
_9f0e13fe-453c-47a1-83b3-5e7b85dbab30,1459217,04MZD-U3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   MZD/20/UN-03,1458515,UN-03,_9d4fb9d6-5741-4a7f-8aa2-d91c5527bdcc,_284141f3-b229-4d2d-b3ca-0e4ed223ed40,SynchronousMachine
_db3005dc-372f-44ce-b808-f20d182257b2,1459574,04MRI-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   MRI/6.9/UN-01,1459558,UN-01,_da45bb90-fc1f-4946-84d2-9080f0b176a3,_78582d06-dc8d-4402-a638-1b02fb28205b,SynchronousMachine
_1fdbaafd-2c9f-481b-800a-0bab54067b3a,1459788,04MNL-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   MNL/13.8/UN-01,1459780,UN-01,_daafe9f7-3757-468d-b4b2-61a7327b6ce8,_3b397da8-607c-4d48-94bc-6ebc28389469,SynchronousMachine
_b80fde0c-9d41-41ff-9339-195e5e42833f,1463085,04LCG-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   LCG/13.8/UN-02,1462924,UN-02,_0fd8ab1a-d468-4471-811f-1ab7d22abb54,_e636bb90-f5ce-4414-ae8b-cb0a4e5cf942,SynchronousMachine
_e9d4063b-00e6-4bb9-b374-54f8918f33f1,1463091,04LCG-U4,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   LCG/13.8/UN-04,1462926,UN-04,_52594afb-7d4e-4029-bfe1-ffa0fbe1850a,_e636bb90-f5ce-4414-ae8b-cb0a4e5cf942,SynchronousMachine
_9d94fccf-4cbd-4ee8-939f-bd8df48393a5,1463198,04LCG-PQ1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   LCG/16.5/UNPQ1,1462952,UNPQ1,_51966955-a153-486c-a4ca-6f99bd51071b,_7fa87506-1a39-4262-b36d-855098eb67ea,SynchronousMachine
_7b22bc22-5de2-43f0-a99a-7f8b4ffaaf5f,1463204,04LCG-PQ2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   LCG/16.5/UNPQ2,1462954,UNPQ2,_8eb78017-5611-4e43-8970-970eb3129e67,_7fa87506-1a39-4262-b36d-855098eb67ea,SynchronousMachine
_1c9cdd90-0f47-4e6e-9016-d826200a6690,1463210,04LCG-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   LCG/16.5/UN-01,1462956,UN-01,_73b2783b-4a44-4ef3-b50d-6eec6f24773a,_7fa87506-1a39-4262-b36d-855098eb67ea,SynchronousMachine
_2e377cc1-4c8b-4722-be85-00ecb3312f04,1463216,04LCG-U3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   LCG/16.5/UN-03,1462958,UN-03,_1f993c9a-1c19-4dad-99ea-6007ee8f067f,_7fa87506-1a39-4262-b36d-855098eb67ea,SynchronousMachine
_697cb0e1-fc75-4062-88d0-ca9f93db447b,1464465,04ICA-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   ICA/13.8/UN-01,1464330,UN-01,_f796902b-5187-4b09-9276-ce1f7f14f852,_53abf5d7-9ca4-46a5-9608-03734bf8a481,SynchronousMachine
_52b3f465-2052-4089-891d-40bc1bcb596d,1464471,04ICA-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   ICA/13.8/UN-02,1464332,UN-02,_18d40b5c-1e1b-4b78-b717-65a4a78eb864,_53abf5d7-9ca4-46a5-9608-03734bf8a481,SynchronousMachine
_94d14426-3144-4376-9905-f09541561920,1465559,04HYA-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   HYA/13.8/UN-01,1465436,UN-01,_981f43d2-23eb-4b36-adf3-f0f35b8bbc15,_816e7362-781c-4a4e-9e33-7ea660ccd058,SynchronousMachine
_2748a73f-021a-46ac-a2c6-a3b75cab279c,1465565,04HYA-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   HYA/13.8/UN-02,1465438,UN-02,_6de2f198-e76b-41f3-b27a-cfc91c662448,_816e7362-781c-4a4e-9e33-7ea660ccd058,SynchronousMachine
